municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019
Monte Alegre,2020-06-23,90,73,-6.072449999999948,-35.33660999999995,1,240780.0,22451.0
Monte das Gameleiras,2020-06-23,2,10,-6.440269999999941,-35.78496999999993,0,240790.0,2105.0
Mossoró,2020-06-23,2029,1357,-5.1878399999999365,-37.34421999999995,107,240800.0,297378.0
Natal,2020-06-23,7673,12856,-5.795439999999927,-35.211509999999976,287,240810.0,884122.0
Nísia Floresta,2020-06-23,113,76,-6.051759999999945,-35.22305999999997,2,240820.0,27602.0
Nova Cruz,2020-06-23,137,78,-6.475229999999954,-35.42883999999998,6,240830.0,37343.0
Olho-d'Água do Borges,2020-06-23,11,0,-5.9557499999999655,-37.703629999999976,0,240840.0,4258.0
Ouro Branco,2020-06-23,14,19,-6.703359999999975,-36.945779999999964,0,240850.0,4812.0
Paraná,2020-06-23,4,5,-6.484079999999949,-38.31215999999995,0,240860.0,4254.0
Paraú,2020-06-23,10,11,-5.777339999999981,-37.10159999999996,0,240870.0,3768.0
Parazinho,2020-06-23,14,21,-5.2269099999999735,-35.83941999999996,0,240880.0,5237.0
Parelhas,2020-06-23,29,124,-6.69241999999997,-36.658919999999966,0,240890.0,21477.0
Parnamirim,2020-06-23,2103,2397,-5.905429999999968,-35.26119999999997,53,240325.0,261469.0
Passa e Fica,2020-06-23,15,10,-6.4354699999999525,-35.64358999999996,1,240910.0,13277.0
Passagem,2020-06-23,10,4,-6.278699999999957,-35.37551999999994,0,240920.0,3089.0
Patu,2020-06-23,6,15,-6.101939999999956,-37.637299999999975,1,240930.0,12755.0
Pau dos Ferros,2020-06-23,29,61,-6.111899999999935,-38.20614999999998,1,240940.0,30394.0
Pedra Grande,2020-06-23,26,8,-5.150869999999942,-35.87695999999994,0,240950.0,3237.0
Pedra Preta,2020-06-23,1,8,-5.581669999999974,-36.104319999999966,0,240960.0,2458.0
Pedro Avelino,2020-06-23,8,17,-5.52049999999997,-36.387219999999964,0,240970.0,6716.0
