municipio,data,confirmado,suspeito,lat,lon,morte
São Fernando,2020-05-16,0,2,-6.382319999999938,-37.18699999999996,0
São Francisco do Oeste,2020-05-16,0,2,-6.000169999999969,-38.16778999999997,0
São Gonçalo do Amarante,2020-05-16,90,388,-5.7931899999999805,-35.32882999999997,6
São João do Sabugi,2020-05-16,0,6,-6.7169099999999275,-37.20399999999995,0
São José de Mipibu,2020-05-16,33,56,-6.0736799999999675,-35.237859999999955,2
São José do Campestre,2020-05-16,0,4,-6.311859999999967,-35.71554999999995,0
São José do Seridó,2020-05-16,0,2,-6.449379999999963,-36.87972999999994,0
São Miguel,2020-05-16,16,40,-6.204529999999977,-38.492969999999964,0
São Miguel do Gostoso,2020-05-16,1,4,-5.124319999999956,-35.63579999999996,0
São Paulo do Potengi,2020-05-16,3,32,-5.8928999999999405,-35.756449999999965,0
São Pedro,2020-05-16,1,5,-5.8962799999999325,-35.635119999999965,0
São Rafael,2020-05-16,7,16,-5.802859999999952,-36.88585999999998,1
São Tomé,2020-05-16,6,9,-5.972529999999948,-36.07672999999994,1
São Vicente,2020-05-16,1,16,-6.219899999999938,-36.681949999999965,0
Senador Elói de Souza,2020-05-16,1,3,-6.036669999999957,-35.69077999999996,0
Senador Georgino Avelino,2020-05-16,2,2,-6.162669999999935,-35.12469999999996,1
Serra Caiada,2020-05-16,2,7,-6.106839999999977,-35.71097999999995,0
Serra de São Bento,2020-05-16,1,4,-6.417519999999968,-35.704249999999945,0
Serra do Mel,2020-05-16,1,9,-5.174689999999941,-37.038029999999935,0
Serra Negra do Norte,2020-05-16,2,14,-6.665899999999965,-37.399599999999964,2
Serrinha,2020-05-16,0,7,-6.277789999999925,-35.49991999999997,0
Serrinha dos Pintos,2020-05-16,0,1,-6.1126599999999485,-37.955829999999935,0
Severiano Melo,2020-05-16,1,5,-5.782089999999927,-37.95746999999994,0
Sítio Novo,2020-05-16,0,2,-6.11039999999997,-35.91463999999996,0
Taboleiro Grande,2020-05-16,5,4,-5.928269999999943,-38.04434999999995,1
Taipu,2020-05-16,1,3,-5.621829999999932,-35.596919999999955,1
Tangará,2020-05-16,0,18,-6.199529999999925,-35.80089999999996,0
Tenente Ananias,2020-05-16,9,8,-6.460449999999981,-38.180609999999945,2
Tenente Laurentino Cruz,2020-05-16,1,6,-6.146409999999946,-36.71765999999997,0
Tibau,2020-05-16,9,16,-4.840939999999931,-37.255699999999926,0
Tibau do Sul,2020-05-16,1,7,-6.188469999999938,-35.090569999999964,0
Timbaúba dos Batistas,2020-05-16,0,1,-6.464379999999949,-37.267169999999965,0
Touros,2020-05-16,8,47,-5.198869999999944,-35.46049999999997,1
Triunfo Potiguar,2020-05-16,0,3,-5.8670799999999295,-37.18545999999998,0
Umarizal,2020-05-16,2,6,-5.990989999999954,-37.81269999999995,0
Upanema,2020-05-16,2,14,-5.6433099999999286,-37.258699999999976,0
Várzea,2020-05-16,1,3,-6.3451799999999725,-35.37230999999996,0
Venha-Ver,2020-05-16,0,0,-6.319999999999938,-38.490929999999935,0
Vera Cruz,2020-05-16,0,3,-6.043829999999957,-35.432109999999966,0
Viçosa,2020-05-16,0,7,-5.992209999999943,-37.94571999999994,0
Vila Flor,2020-05-16,0,1,-6.3152599999999675,-35.07624999999996,0
Importados,2020-05-16,14,13,,,3
