municipio,suspeitos_24_03,confirmados_24_03,mortes_24_03,confirmados_22_03,mortes_22_03,confirmados_21_03,mortes_21_03,confirmados_20_03,mortes_20_03,confirmados_18_03,mortes_18_03,confirmados_16_03,mortes_16_03,confirmados_13_03,mortes_13_03,suspeitos_28_02,suspeitos_02_03,suspeitos_03_03,suspeitos_05_03,suspeitos_06_03,suspeitos_10_03,suspeitos_11_03,suspeitos_13_03,suspeitos_16_03,suspeitos_18_03,suspeitos_20_03,suspeitos_22_03
Januário Cicco,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Pendências,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Jardim do Seridó,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
Poço Branco,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portalegre,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porto do Mangue,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pureza,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Godeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riacho da Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riacho de Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riachuelo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagoa d'Anta,1,,,,,,,,,,,,,,,,,,,,,,,,,1,
Rodolfo Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagoa de Velhos,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Montanhas,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Monte Alegre,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
Santana do Matos,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santana do Seridó,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santo Antônio,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Bento do Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Bento do Trairí,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nova Cruz,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
São Francisco do Oeste,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pau dos Ferros,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilões,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruy Barbosa,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
Santa Maria,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
São José do Seridó,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Miguel,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Fernando,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1
São Miguel do Gostoso,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
São Pedro,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Rafael,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Tomé,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Vicente,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senador Elói de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senador Georgino Avelino,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra Caiada,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra de São Bento,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Paulo do Potengi,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra Negra do Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serrinha,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serrinha dos Pintos,,,,,,,,,,,,,,,,,,,,,,,,,,,
