municipio,confirmado_30_03,suspeitos_30_03,suspeitos_28_03,confirmados_28_03,suspeitos_27_03,confirmados_27_03,suspeitos_25_03,confirmados_25_03,suspeitos_24_03,confirmados_24_03,mortes_24_03,confirmados_22_03,mortes_22_03,confirmados_20_03,mortes_20_03,confirmados_18_03,mortes_18_03,confirmados_16_03,mortes_16_03,confirmados_13_03,mortes_13_03,suspeitos_28_02,suspeitos_02_03,suspeitos_03_03,suspeitos_05_03,suspeitos_06_03,suspeitos_10_03,suspeitos_11_03,suspeitos_13_03,suspeitos_16_03,suspeitos_18_03,suspeitos_20_03,suspeitos_22_03
Monte Alegre,1,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Monte das Gameleiras,,2,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
Mossoró,16,131,132,16,142,5,151,2,90,1,,1,,,,,,,,,,,,,,,2,2,2,3,5,14,59
Natal,36,501,504,34,569,19,532,13,200,9,,9,,5,0,1,0,1,0,1,0,5,4,3,2,3,9,8,9,20,47,73,123
Nísia Floresta,,3,3,,3,,3,,3,,,,,,,,,,,,,,,,,,,,,2,2,3,3
Nova Cruz,,2,2,,2,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Olho-d'Água do Borges,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Ouro Branco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraná,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parazinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parelhas,,3,3,,3,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,2
Parnamirim,10,76,77,9,81,4,83,4,29,4,,3,,1,0,,,,,,,1,1,1,2,1,2,2,4,5,13,16,20
Passa e Fica,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Passagem,,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Patu,,2,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Pau dos Ferros,,5,5,,5,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,
Pedra Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedra Preta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Avelino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Velho,,1,1,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
Pendências,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
Pilões,,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Poço Branco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portalegre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porto do Mangue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pureza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Fernandes,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Godeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riacho da Cruz,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riacho de Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riachuelo,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio do Fogo,,3,3,,3,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,3
Rodolfo Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruy Barbosa,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Santa Cruz,,3,3,,4,,5,,2,,,,,,,,,,,,,,,,,,,,,,2,2,2
Santa Maria,,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Santana do Matos,,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Santana do Seridó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santo Antônio,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
São Bento do Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Bento do Trairí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Fernando,,2,2,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,1
São Francisco do Oeste,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
São Gonçalo do Amarante,2,18,18,1,21,,23,,6,,,,,,,,,,,,,,,,,,,,,,,2,4
São João do Sabugi,,4,4,,4,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,
São José de Mipibu,1,6,6,1,6,,6,,4,,,,,,,,,,,,,,,,,,,,,,,,4
São José do Campestre,,4,4,,4,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,
São José do Seridó,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Miguel,,3,3,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
São Miguel do Gostoso,,1,1,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1
São Paulo do Potengi,,2,2,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
São Pedro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Rafael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Tomé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Vicente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senador Elói de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senador Georgino Avelino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra Caiada,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra de São Bento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
