municipio,confirmado_04_06,suspeito_04_06,morte_04_06,confirmado_03_06,suspeito_03_06,morte_03_06,confirmado_02_06,suspeito_02_06,morte_02_06,confirmado_01_06,suspeito_01_06,morte_01_06,confirmado_30_05,suspeito_30_05,morte_30_05,confirmado_29_05,suspeito_29_05,morte_29_05,confirmado_27_05,suspeito_27_05,morte_27_05,confirmado_26_05,suspeito_26_05,morte_26_05,confirmado_25_05,suspeito_25_05,morte_25_05,confirmado_23_05,suspeito_23_05,morte_23_05,confirmado_22_05,suspeito_22_05,morte_22_05,confirmado_21_05,suspeito_21_05,morte_21_05,confirmado_20_05,suspeito_20_05,morte_20_05,confirmado_19_05,suspeito_19_05,morte_19_05,confirmado_18_05,suspeito_18_05,morte_18_05,confirmado_17_05,suspeito_17_05,morte_17_05,confirmado_16_05,suspeito_16_05,morte_16_05,confirmado_15_05,suspeito_15_05,morte_15_05,suspeito_14_05,confirmado_14_05,morte_14_05,confirmado_13_05,suspeito_13_05,morte_13_05,confirmado_12_05,suspeito_12_05,morte_12_05,confirmado_11_05,suspeito_11_05,morte_11_05,confirmado_10_05,suspeito_10_05,morte_10_05,confirmado_09_05,suspeito_09_05,morte_09_05,confirmado_08_05,suspeito_08_05,morte_08_05,confirmado_07_05,suspeito_07_05,morte_07_05,confirmado_06_05,suspeito_06_05,morte_06_05,confirmado_05_05,suspeito_05_05,morte_05_05,confirmado_04_05,suspeito_04_05,morte_04_05,confirmado_03_05,suspeito_03_05,morte_03_05,confirmado_02_05,suspeito_02_05,morte_02_05,confirmado_01_05,suspeito_01_05,morte_01_05,confirmado_30_04,suspeito_30_04,morte_30_04,confirmado_29_04,suspeito_29_04,morte_29_04,confirmado_28_04,suspeito_28_04,morte_28_04,confirmado_27_04,suspeito_27_04,morte_27_04,confirmado_26_04,suspeito_26_04,morte_26_04,confirmado_25_04,suspeito_25_04,morte_25_04,confirmado_24_04,suspeito_24_04,morte_24_04,confirmado_23_04,suspeito_23_04,morte_23_04,confirmado_22_04,suspeito_22_04,morte_22_04,confirmado_21_04,suspeito_21_04,morte_21_04,confirmado_20_04,suspeito_20_04,morte_20_04,confirmado_18_04,suspeito_18_04,morte_18_04,confirmado_17_04,suspeito_17_04,morte_17_04,confirmado_16_04,suspeito_16_04,morte_16_04,confirmado_15_04,suspeito_15_04,morte_15_04,confirmado_14_04,suspeito_14_04,morte_14_04,confirmado_13_04,suspeito_13_04,morte_13_04,confirmado_12_04_,suspeito_12_04,morte_12_04,confirmado_11_04,suspeito_11_04,morte_11_04,confirmado_10_04,suspeito_10_04,morte_10_04,confirmado_09_04,suspeito_09_04,morte_09_04,confirmado_08_04,suspeito_08_04,morte_08_04,confirmado_07_04,suspeito_07_04,morte_07_04,morte_06_04,confirmado_05_04,suspeito_05_04,morte_05_04,morte_04_04,confirmado_03_04,suspeito_03_04,morte_03_04,confirmado_02_04,suspeitos_02_04,morte_02_04,confirmado_01_04,suspeito_01_04,morte_01_04,morte_31_03,confirmado_30_03,suspeitos_30_03,morte_30_03,morte_29_03,confirmados_28_03,suspeitos_28_03,morte_28_03,confirmados_27_03,suspeitos_27_03,morte_27_03,morte_26_03,confirmados_25_03,suspeitos_25_03,morte_25_03,confirmados_24_03,suspeitos_24_03,morte_24_03,morte_23_03,confirmados_22_03,suspeitos_22_03,morte_22_03,morte_21_03,confirmados_20_03,suspeitos_20_03,morte_20_03,morte_19_03,confirmados_18_03,suspeitos_18_03,morte_18_03,morte_17_03,confirmados_16_03,suspeitos_16_03,morte_16_03,morte_15_03,morte_14_03,confirmados_13_03,suspeitos_13_03,morte_13_03,morte_12_03,suspeitos_11_03,suspeitos_10_03,suspeitos_06_03,suspeitos_05_03,suspeitos_03_03,suspeitos_02_03,suspeitos_28_02
Pilões,5,8,,5,8,,5,8,,5,8,,5,6,,5,6,,4,6,,3,8,,2,8,,2,8,,2,8,,2,5,,2,5,,2,4,,2,3,,2,3,,2,3,,2,3,,2,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poço Branco,18,18,,18,18,,16,15,,16,15,,16,14,,12,18,,7,12,,7,6,,4,8,,4,10,,3,9,,3,9,,2,7,,2,4,,2,4,,2,4,,2,4,,2,2,,1,2,,2,1,,2,,,2,1,,1,2,,1,2,,1,2,,1,2,,1,2,,1,1,,1,,,1,,,1,,,1,1,,1,1,,1,3,,1,8,,1,6,,1,5,,1,4,,1,1,,1,4,,1,5,,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portalegre,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,2,1,,2,1,,2,1,,2,1,,2,1,,2,3,,2,3,,2,3,,2,3,,2,3,,3,2,,2,3,,2,3,,2,2,,2,,,2,,,2,,,2,,,1,1,,2,1,,2,1,,2,1,,1,1,,1,1,,,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porto do Mangue,19,38,1,19,38,1,19,25,1,19,25,1,16,18,1,12,21,,11,23,,10,17,,9,17,,4,20,,3,20,,2,21,,2,19,,2,19,,2,16,,2,16,,2,16,,2,16,,15,2,,2,13,,2,11,,2,9,,1,9,,1,9,,1,8,,1,8,,1,8,,1,6,,1,6,,,4,,,4,,,3,,,2,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pureza,19,15,,19,15,,17,11,,16,12,,3,11,,2,12,,2,5,,2,5,,,5,,,5,,,5,,,5,,,7,,,7,,,6,,,6,,,4,,,2,,2,,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,2,,,3,,,3,,,3,,,3,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Fernandes,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,7,,,7,,,7,,,7,,,7,,,6,,,6,,5,,,,4,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Godeiro,4,5,,4,5,,,4,,,4,,,3,,,3,,,4,,,3,,,3,,,4,,,3,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riacho da Cruz,7,3,1,7,3,1,7,2,1,7,2,1,6,2,1,6,2,1,6,2,1,3,6,1,3,6,1,3,7,1,3,6,1,3,,1,3,,1,2,,1,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,2,,,3,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riacho de Santana,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,3,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riachuelo,9,41,,9,41,,8,24,,8,24,,8,18,,7,19,,4,24,,4,26,,4,22,,4,21,,4,22,,4,20,,3,20,,2,20,,2,18,,2,18,,2,18,,2,18,,16,1,,1,12,,1,11,,1,10,,1,7,,1,6,,1,5,,1,3,,1,3,,1,3,,1,2,,1,2,,1,3,,,3,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,2,,,2,,,2,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio do Fogo,16,31,,16,31,,14,18,,14,18,,13,16,,9,20,,9,12,,9,14,,9,12,,7,14,,6,15,,6,17,,6,16,,3,16,,,13,,,13,,,13,,,14,,14,,,,15,,,15,,,17,,,12,,,12,,,12,,,7,,,7,,,3,,,3,,,3,,,4,,,4,,,3,,,3,,,3,,,3,,,3,,,4,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,4,,,4,,,4,,,4,,,4,,,3,,,3,,,3,,,,3,,,,2,,,2,,,2,,,,3,,,,3,,,3,,,,3,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodolfo Fernandes,3,11,,3,11,,2,9,,2,9,,2,9,,2,9,,1,5,,1,5,,1,5,,1,5,,1,5,,1,5,,1,5,,1,5,,1,5,,1,5,,1,5,,1,6,,2,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruy Barbosa,7,16,,7,16,,6,9,,6,9,,6,4,,5,4,,3,5,,3,5,,2,6,,2,6,,2,4,,2,4,,,3,,,3,,,3,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,59,181,,59,184,,48,157,,48,157,,43,134,,39,138,,35,119,,34,107,,24,108,,23,101,,23,99,,22,95,,22,96,,21,87,,19,82,,19,83,,19,83,,17,85,,82,17,,14,77,,12,75,,12,73,,12,60,,12,61,,12,57,,12,53,,12,53,,12,49,,12,46,,12,46,,12,53,,12,52,,11,51,,10,60,,8,49,,8,45,,4,41,,4,44,,3,28,,3,26,,3,24,,3,24,,3,26,,2,7,,2,7,,1,8,,1,8,,1,7,,1,9,,1,10,,1,11,,,13,,,14,,,12,,,10,,,,10,,,,12,,,10,,,7,,,,3,,,,3,,,4,,,,5,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,
Santa Maria,11,17,,9,17,,9,17,,9,17,,8,14,,7,15,,4,19,,4,17,,4,17,,3,12,,2,10,,2,9,,2,8,,2,8,,2,10,,4,10,,3,10,,2,8,,8,2,,2,8,,2,8,,2,10,,2,7,,2,7,,1,7,,1,4,,1,4,,1,3,,1,3,,1,3,,1,3,,1,3,,1,3,,1,3,,1,3,,,4,,,4,,,3,,,3,,,3,,,3,,,3,,,3,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Santana do Matos,15,24,,15,24,,15,16,,15,16,,10,13,,10,13,,9,18,,9,18,,8,15,,7,16,,7,15,,6,14,,6,15,,3,15,,2,14,,2,14,,2,14,,2,14,,13,2,,2,11,,2,9,,2,8,,1,10,,1,10,,1,5,,,5,,,6,,,6,,,4,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santana do Seridó,3,13,,3,13,,3,11,,3,11,,2,8,,2,8,,1,7,,,6,,,6,,,6,,,5,,,4,,,2,,,2,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santo Antônio,34,95,2,33,96,2,30,74,2,30,74,2,27,58,2,22,63,2,21,60,2,21,48,2,20,48,2,19,45,1,19,38,1,19,40,1,17,40,1,16,39,1,13,41,,13,41,,13,38,,12,37,,34,10,,10,30,,10,31,,10,27,,11,25,,11,25,,11,21,,10,20,,10,14,,9,15,,9,15,,9,15,,9,15,,9,15,,8,15,,8,18,,6,21,,6,17,,6,16,,6,15,,6,11,,6,18,,5,18,,5,11,,5,11,,4,7,,4,7,,3,8,,3,8,,3,7,,2,12,,2,12,,1,13,,1,11,,1,11,,1,9,,1,7,,,1,7,,,1,7,,,3,,,3,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Bento do Norte,2,10,,2,10,,2,8,,2,8,,1,8,,1,8,,1,6,,1,6,,1,5,,2,5,,2,4,,1,5,,,4,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Bento do Trairí,4,23,,4,23,,4,22,,4,22,,3,20,,3,20,,2,20,,2,20,,2,20,,1,21,,1,20,,1,19,,,19,,,19,,,19,,,19,,,19,,,18,,18,,,,17,,,17,,,17,,,15,,,15,,,14,,,14,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,9,,,9,,,9,,,9,,,9,,,7,,,7,,,7,,,6,,,6,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,2,,,,,,,,,1,,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Fernando,3,5,,2,5,,2,4,,2,4,,2,4,,2,4,,1,2,,,6,,,3,,,3,,1,3,,1,3,,1,3,,,2,,,2,,,2,,,2,,,1,,1,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2,,,2,,,,1,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
São Francisco do Oeste,,2,,,2,,,2,,,2,,,2,,,2,,,3,,,6,,,3,,,4,,,4,,,4,,,4,,,3,,,2,,,2,,,2,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,1,,,1,,,1,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Gonçalo do Amarante,397,691,19,391,700,19,315,600,20,302,611,19,276,524,19,209,592,16,182,552,13,177,516,12,142,497,12,131,533,7,119,490,7,112,485,7,102,448,7,98,401,6,93,380,6,92,385,6,90,388,6,85,336,4,303,81,3,80,274,3,69,245,3,71,246,3,68,228,3,68,226,3,64,210,3,62,195,3,62,187,2,61,175,2,55,165,2,53,166,2,53,163,2,52,161,2,47,159,2,44,158,2,42,135,2,42,129,2,42,126,2,41,138,2,39,104,2,39,88,2,34,91,2,33,76,2,32,78,2,30,46,2,28,46,2,26,46,2,26,46,2,24,52,2,22,71,1,20,84,1,19,86,1,11,107,1,11,107,1,11,100,1,11,85,1,,10,79,,,9,59,,1,62,,1,39,,,2,18,,,1,18,,,21,,,,23,,,6,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,
São João do Sabugi,2,15,,2,15,,2,9,,2,9,,1,6,,1,6,,1,14,,1,12,,1,12,,1,14,,,12,,,24,,,24,,,7,,,6,,,6,,,6,,,6,,7,,,,6,,,7,,,7,,,6,,,6,,,6,,,6,,,6,,,5,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,,4,,,,4,,,4,,,4,,,,4,,,,4,,,4,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São José de Mipibu,114,165,3,105,171,3,90,123,3,82,132,4,79,103,4,65,114,4,60,122,4,57,108,4,45,101,4,40,114,3,37,104,3,37,92,3,36,85,3,35,67,2,33,56,2,33,56,2,33,56,2,33,50,1,49,30,1,29,46,1,27,46,1,26,44,1,26,45,1,26,43,1,24,36,1,24,26,1,21,28,1,19,29,1,19,24,1,19,22,1,18,23,1,14,25,1,12,24,1,9,25,1,8,28,1,8,18,1,8,18,1,5,20,,5,15,,5,15,,5,15,,4,10,,4,10,,4,9,,2,9,,2,9,,2,9,,2,10,,,,,2,16,,2,17,,1,20,,1,20,,1,19,,1,20,,,1,21,,,1,21,,1,20,,1,18,,,1,6,,,1,6,,,6,,,,6,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
São José do Campestre,2,29,1,2,29,1,1,21,1,1,21,1,1,16,1,,16,,,12,,,11,,,8,,,9,,,9,,,6,,,6,,,5,,,5,,,5,,,4,,,4,,4,,,,4,,,4,,,4,,,5,,,5,,,5,,,5,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,4,,,3,,,3,,,3,,,4,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,4,,,,4,,,,4,,,4,,,4,,,,4,,,,4,,,4,,,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São José do Seridó,2,9,,2,9,,1,9,,1,9,,,6,,,6,,,5,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Miguel,21,60,,21,60,,21,55,,20,55,,18,51,,18,51,,18,52,,18,52,,18,52,,18,54,,17,49,,17,46,,17,46,,17,42,,16,42,,16,42,,16,40,,16,40,,39,16,,16,36,,16,32,,15,32,,15,31,,15,31,,15,31,,14,28,,14,30,,11,26,,11,25,,11,23,,11,24,,10,25,,3,26,,3,23,,2,23,,2,20,,2,19,,2,19,,1,12,,1,11,,1,11,,1,11,,1,11,,1,7,,,7,,,7,,,7,,,8,,,8,,,8,,,8,,,8,,,4,,,4,,,3,,,,3,,,,3,,,3,,,3,,,,3,,,,3,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Miguel do Gostoso,4,15,,4,15,,3,12,,3,12,,2,2,,1,3,,1,3,,1,4,,1,4,,1,5,,2,7,,2,5,,1,6,,1,5,,1,4,,1,4,,1,4,,1,2,,2,1,,,4,,,4,,,4,,1,1,,1,1,,1,2,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,3,,,,3,,,,1,,,1,,,1,,,,1,,,,1,,,2,,,,2,,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,
São Paulo do Potengi,28,68,,28,68,,19,60,,19,60,,15,44,,13,45,,7,40,,6,39,,4,36,,4,34,,4,32,,3,29,,3,29,,3,30,,3,33,,3,33,,3,32,,2,22,,21,2,,2,19,,2,18,,2,17,,2,15,,2,15,,2,15,,2,15,,2,15,,1,14,,1,14,,1,15,,1,15,,1,15,,1,13,,1,13,,,10,,,6,,,6,,,6,,,7,,,6,,,5,,,5,,,5,,,4,,,4,,,4,,,4,,,4,,,4,,,6,,,5,,,5,,,5,,,3,,,2,,,,2,,,,3,,,3,,,2,,,,2,,,,2,,,2,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Pedro,20,15,,20,15,,14,14,,14,14,,14,13,,14,13,,14,12,,11,11,,6,10,,6,12,,5,8,,5,8,,2,7,,1,6,,1,5,,1,5,,1,5,,1,4,,4,1,,1,4,,1,4,,1,4,,1,4,,1,3,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,2,,1,2,,1,2,,1,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Rafael,21,24,1,21,24,1,21,24,1,21,24,1,16,23,1,15,24,1,12,24,1,11,23,1,10,23,1,9,23,1,9,22,1,9,24,1,9,25,1,8,21,1,7,16,1,7,16,1,7,16,1,8,15,1,14,8,1,8,12,1,8,11,1,8,11,1,9,8,1,9,8,1,8,8,1,8,7,1,9,8,1,10,9,1,8,9,1,8,9,1,6,9,1,6,8,1,5,8,1,5,8,1,3,7,1,3,5,1,3,5,1,3,5,1,3,2,1,3,2,1,1,4,1,1,2,1,1,2,1,,2,1,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Tomé,20,26,1,20,26,1,20,18,1,20,18,1,18,15,1,18,15,1,15,16,1,15,15,1,10,18,1,10,22,1,10,20,1,9,19,1,9,17,1,7,9,1,6,9,1,6,9,1,6,9,1,6,9,1,10,4,1,4,8,1,3,6,1,3,4,1,3,4,1,3,4,1,3,4,1,3,1,1,1,5,,1,6,,1,2,,1,2,,,3,,,3,,,1,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Vicente,1,20,,1,20,,1,18,,1,18,,1,16,,1,16,,1,17,,1,17,,1,17,,1,18,,1,18,,1,17,,1,16,,1,16,,1,16,,1,16,,1,16,,1,16,,16,1,,1,16,,1,15,,1,14,,1,14,,1,14,,,15,,,15,,,15,,,13,,,13,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,8,,,8,,,8,,,8,,,7,,,8,,,7,,,7,,,7,,,5,,,4,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senador Elói de Souza,3,8,,3,8,,3,7,,3,7,,2,6,,2,6,,1,3,,1,3,,1,3,,1,2,,1,2,,1,2,,1,2,,1,3,,1,3,,1,3,,1,3,,1,2,,2,1,,1,2,,2,2,,2,2,,1,1,,1,1,,1,2,,1,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senador Georgino Avelino,6,8,2,6,8,2,5,3,2,4,3,1,4,3,1,2,4,1,2,4,1,2,3,1,2,4,1,3,7,1,3,4,1,3,4,1,3,3,1,3,2,1,2,2,1,2,2,1,2,2,1,2,1,1,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra Caiada,14,13,2,13,14,2,13,6,2,12,7,2,12,2,2,6,7,2,7,7,2,7,7,2,4,10,,2,13,,2,12,,2,11,,2,11,,2,8,,2,7,,2,7,,2,7,,1,4,,3,1,,1,3,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra de São Bento,2,5,,2,5,,2,4,,2,4,,1,5,,1,5,,1,4,,1,3,,1,3,,1,2,,1,2,,1,2,,1,3,,1,3,,1,3,,1,4,,1,4,,1,3,,1,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
