municipio,confirmado_30_04,suspeito_30_04,confirmado_29_04,suspeito_29_04,confirmado_28_04,suspeito_28_04,confirmado_27_04,suspeito_27_04,confirmado_26_04,suspeito_26_04,confirmado_25_04,suspeito_25_04,confirmado_24_04,suspeito_24_04,confirmado_23_04,suspeito_23_04,confirmado_22_04,suspeito_22_04,confirmado_21_04,suspeito_21_04,confirmado_20_04,suspeito_20_04,confirmado_18_04,suspeito_18_04,confirmado_17_04,suspeito_17_04,confirmado_16_04,suspeito_16_04,confirmado_15_04,suspeito_15_04,confirmado_14_04,suspeito_14_04,confirmado_13_04,suspeito_13_04,confirmado_12_04_,suspeito_12_04,confirmado_11_04,suspeito_11_04,confirmado_10_04,suspeito_10_04,confirmado_09_04,suspeito_09_04,confirmado_08_04,suspeito_08_04,confirmado_07_04,suspeito_07_04,confirmado_05_04,suspeito_05_04,confirmado_03_04,suspeito_03_04,confirmado_02_04,suspeitos_02_04,confirmado_01_04,suspeito_01_04,confirmado_30_03,suspeitos_30_03,confirmados_28_03,suspeitos_28_03,confirmados_27_03,suspeitos_27_03,confirmados_25_03,suspeitos_25_03,confirmados_24_03,suspeitos_24_03,confirmados_22_03,suspeitos_22_03,confirmados_20_03,suspeitos_20_03,confirmados_18_03,suspeitos_18_03,confirmados_16_03,suspeitos_16_03,confirmados_13_03,suspeitos_13_03,suspeitos_11_03,suspeitos_10_03,suspeitos_06_03,suspeitos_05_03,suspeitos_03_03,suspeitos_02_03,suspeitos_28_02
Equador,,1,,2,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espírito Santo,,2,,2,,2,,2,,2,,2,,2,,1,,1,,2,,2,,,,1,,1,,1,,2,,2,,2,,2,,2,,1,,1,,2,,2,,2,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,
Extremoz,15,42,12,44,11,45,10,45,9,44,9,44,9,24,8,22,6,22,6,18,6,18,5,13,5,14,5,15,5,15,5,16,6,23,6,25,5,25,5,27,5,27,5,26,5,24,5,22,5,22,,24,,17,,7,,7,,8,,8,,2,,2,,1,,,,,,,,,,,,,
Felipe Guerra,,5,,5,,8,,8,,6,,6,,4,,4,,4,,4,,4,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,4,,4,,4,,3,,3,,3,,1,,4,,,,,,,,,,,,,,,,,
Fernando Pedroza,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,2,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Florânia,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,3,,5,,3,,3,,4,,2,,2,,1,,1,,1,,1,,,,,,,,2,,2,,1,,1,,,,,,,,,,,,,,,
Francisco Dantas,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frutuoso Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,1,,1,,1,,1,,1,,1,,1,1,1,,,,,
Galinhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goianinha,,38,,36,,37,,36,,36,,36,,26,,21,,21,,21,,21,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,16,,16,,15,,3,,3,,3,,2,,1,,1,,1,,,,,,1,,,,,,,
Governador Dix-Sept Rosado,,16,,16,,17,,17,,14,,12,,11,,11,,11,,11,,11,,9,,9,,9,,9,,10,,10,,11,,11,,10,,10,,10,,10,,10,,10,,10,,7,,4,,4,,4,,4,,3,,,,,,,,,,,,,,,,,
Grossos,,5,,6,,6,,6,,5,,6,,5,,3,,3,,3,,3,,2,,2,,2,,2,,2,,3,,3,,3,,3,,3,,3,,3,,3,,3,,2,,2,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,
Guamaré,4,24,2,21,1,26,1,26,1,26,,23,,20,,20,,20,,21,,21,,21,,21,,21,,21,,22,,22,,24,,24,,24,,24,,23,,26,,26,,26,,27,,24,,21,,23,,24,,24,,6,,3,,3,,,,,,,,,,,,,
Ielmo Marinho,,,,,1,1,1,1,1,1,1,1,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ipanguaçu,8,8,8,5,4,19,4,17,4,17,4,2,2,3,2,5,2,6,2,1,2,1,1,,1,,,,,,,,,1,,1,,2,,2,,2,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Ipueira,,5,,5,,4,,4,,4,,4,,4,,4,,4,,4,,4,,2,,2,,2,,2,,2,,2,,2,,2,,3,,3,,2,,2,,2,,2,,2,,2,,2,,2,,3,,2,,2,,,,,,,,,,,,,,,,,
Itajá,1,3,1,3,1,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,,,1,,1,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,
Itaú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaçanã,3,2,3,1,3,1,2,2,2,2,2,2,2,1,2,1,1,2,1,,1,,1,,,,,,,,,,,,,1,,1,,1,,1,,1,,2,,2,,3,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jandaíra,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,2,,2,,2,,2,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janduís,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Januário Cicco,,7,,7,,7,,7,,7,,8,,8,1,7,1,5,1,5,1,5,1,4,1,4,1,4,1,4,1,4,1,4,1,4,,4,,4,,5,,5,,5,,2,,2,,2,,2,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,
Japi,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jardim de Angicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
