municipio,confirmado_29_06,suspeito_29_06,morte_29_06,confirmado_26_06,suspeito_26_06,morte_26_06,confirmado_25_06,suspeito_25_06,morte_25_06,confirmado_24_06,suspeito_24_06,morte_24_06,confirmado_23_06,suspeito_23_06,morte_23_06,confirmado_22_06,suspeito_22_06,morte_22_06,confirmado_20_06,suspeito_20_06,morte_20_06,confirmado_19_06,suspeito_19_06,morte_19_06,confirmado_18_06,suspeito_18_06,morte_18_06,confirmado_17_06,suspeito_17_06,morte_17_06,confirmado_16_06,suspeito_16_06,morte_16_06,confirmado_15_06,suspeito_15_06,morte_15_06,confirmado_13_06,suspeito_13_06,morte_13_06,confirmado_12_06,suspeito_12_06,morte_12_06,confirmado_11_06,suspeito_11_06,morte_11_06,confirmado_10_06,suspeito_10_06,morte_10_06,confirmado_09_06,suspeito_09_06,morte_09_06,confirmado_08_06,suspeito_08_06,morte_08_06,confirmado_06_06,suspeito_06_06,morte_06_06,confirmado_05_06,suspeito_05_06,morte_05_06,confirmado_04_06,suspeito_04_06,morte_04_06,confirmado_03_06,suspeito_03_06,morte_03_06,confirmado_02_06,suspeito_02_06,morte_02_06,confirmado_01_06,suspeito_01_06,morte_01_06,confirmado_30_05,suspeito_30_05,morte_30_05,confirmado_29_05,suspeito_29_05,morte_29_05,confirmado_27_05,suspeito_27_05,morte_27_05,confirmado_26_05,suspeito_26_05,morte_26_05,confirmado_25_05,suspeito_25_05,morte_25_05,confirmado_23_05,suspeito_23_05,morte_23_05,confirmado_22_05,suspeito_22_05,morte_22_05,confirmado_21_05,suspeito_21_05,morte_21_05,confirmado_20_05,suspeito_20_05,morte_20_05,confirmado_19_05,suspeito_19_05,morte_19_05,confirmado_18_05,suspeito_18_05,morte_18_05,confirmado_17_05,suspeito_17_05,morte_17_05,confirmado_16_05,suspeito_16_05,morte_16_05,confirmado_15_05,suspeito_15_05,morte_15_05,suspeito_14_05,confirmado_14_05,morte_14_05,confirmado_13_05,suspeito_13_05,morte_13_05,confirmado_12_05,suspeito_12_05,morte_12_05,confirmado_11_05,suspeito_11_05,morte_11_05,confirmado_10_05,suspeito_10_05,morte_10_05,confirmado_09_05,suspeito_09_05,morte_09_05,confirmado_08_05,suspeito_08_05,morte_08_05,confirmado_07_05,suspeito_07_05,morte_07_05,confirmado_06_05,suspeito_06_05,morte_06_05,confirmado_05_05,suspeito_05_05,morte_05_05,confirmado_04_05,suspeito_04_05,morte_04_05,confirmado_03_05,suspeito_03_05,morte_03_05,confirmado_02_05,suspeito_02_05,morte_02_05,confirmado_01_05,suspeito_01_05,morte_01_05,confirmado_30_04,suspeito_30_04,morte_30_04,confirmado_29_04,suspeito_29_04,morte_29_04,confirmado_28_04,suspeito_28_04,morte_28_04,confirmado_27_04,suspeito_27_04,morte_27_04,confirmado_26_04,suspeito_26_04,morte_26_04,confirmado_25_04,suspeito_25_04,morte_25_04,confirmado_24_04,suspeito_24_04,morte_24_04,confirmado_23_04,suspeito_23_04,morte_23_04,confirmado_22_04,suspeito_22_04,morte_22_04,confirmado_21_04,suspeito_21_04,morte_21_04,confirmado_20_04,suspeito_20_04,morte_20_04,confirmado_18_04,suspeito_18_04,morte_18_04,confirmado_17_04,suspeito_17_04,morte_17_04,confirmado_16_04,suspeito_16_04,morte_16_04,confirmado_15_04,suspeito_15_04,morte_15_04,confirmado_14_04,suspeito_14_04,morte_14_04,confirmado_13_04,suspeito_13_04,morte_13_04,confirmado_12_04,suspeito_12_04,morte_12_04,confirmado_11_04,suspeito_11_04,morte_11_04,confirmado_10_04,suspeito_10_04,morte_10_04,confirmado_09_04,suspeito_09_04,morte_09_04,confirmado_08_04,suspeito_08_04,morte_08_04,confirmado_07_04,suspeito_07_04,morte_07_04,morte_06_04,confirmado_05_04,suspeito_05_04,morte_05_04,morte_04_04,confirmado_03_04,suspeito_03_04,morte_03_04,confirmado_02_04,suspeito_02_04,morte_02_04,confirmado_01_04,suspeito_01_04,morte_01_04,morte_31_03,confirmado_30_03,suspeito_30_03,morte_30_03,morte_29_03,confirmado_28_03,suspeito_28_03,morte_28_03,confirmado_27_03,suspeito_27_03,morte_27_03,morte_26_03,confirmado_25_03,suspeito_25_03,morte_25_03,confirmado_24_03,suspeito_24_03,morte_24_03,morte_23_03,confirmado_22_03,suspeito_22_03,morte_22_03,morte_21_03,confirmado_20_03,suspeito_20_03,morte_20_03,morte_19_03,confirmado_18_03,suspeito_18_03,morte_18_03,morte_17_03,confirmado_16_03,suspeito_16_03,morte_16_03,morte_15_03,morte_14_03,confirmado_13_03,suspeito_13_03,morte_13_03,morte_12_03,suspeito_11_03,suspeito_10_03,suspeito_06_03,suspeito_05_03,suspeito_03_03,suspeito_02_03,suspeito_28_02
Areia Branca,559,516,38,450,615,37,559,516,38,435,575,35,425,547,35,421,709,34,426,712,34,400,656,34,388,673,34,387,674,34,380,686,33,378,646,33,370,647,31,359,649,31,359,648,31,327,649,31,311,660,26,308,665,26,294,612,24,293,623,22,284,631,21,272,640,21,243,589,19,239,593,18,225,544,17,198,568,16,146,554,15,142,548,12,130,511,12,127,521,11,118,499,11,109,471,11,99,448,9,85,405,9,73,349,8,73,349,8,74,350,8,66,317,7,281,58,6,52,269,6,40,233,3,36,222,3,37,206,1,36,206,1,36,187,1,31,168,1,20,165,1,18,145,,16,135,,16,135,,16,128,,16,124,,11,114,,10,99,,5,74,,5,59,,5,56,,4,58,,4,47,,4,46,,4,45,,4,42,,3,43,,3,28,,3,28,,2,29,,2,29,,2,32,,1,35,,1,37,,1,36,,1,33,,1,26,,1,23,,1,22,,,1,21,,,,18,,,15,,,8,,,,2,,,,2,,,2,,,,4,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
Arês,90,118,,54,121,,90,118,,46,98,,44,59,,45,64,,43,64,,26,51,,26,51,,26,51,,26,51,,25,45,,25,45,,25,45,,25,45,,18,45,,18,46,,18,46,,12,35,,12,36,,12,36,,12,37,,8,25,,8,25,,7,18,,5,19,,4,19,,4,19,,4,19,,4,14,,4,12,,3,12,,3,11,,3,9,,3,10,,3,10,,3,10,,4,9,,8,4,,2,9,,2,11,,2,8,,2,6,,1,9,,1,5,,1,3,,1,4,,1,5,,1,5,,1,6,,1,5,,1,5,,1,5,,1,4,,1,5,,1,5,,1,5,,,6,,,4,,,4,,,4,,,4,,,4,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baía Formosa,27,32,1,19,14,1,27,32,1,18,14,1,15,12,1,15,13,1,9,13,1,9,11,1,9,11,1,9,11,1,9,11,1,9,8,1,7,8,1,7,8,1,6,8,1,6,8,1,6,8,1,6,9,,6,8,,6,9,,6,9,,6,9,,4,8,,4,8,,4,7,,4,7,,4,7,,4,7,,3,8,,3,7,,3,7,,3,7,,3,8,,3,7,,3,7,,3,7,,3,6,,3,4,,3,2,,1,3,,1,2,,1,2,,1,2,,1,5,,1,2,,1,2,,1,3,,1,3,,1,3,,1,3,,1,3,,1,3,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,,30,,,,30,,,,30,,,29,,,26,,,,2,,,,2,,,2,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
Baraúna,217,77,9,189,96,9,217,77,9,178,91,8,163,90,8,164,122,8,162,123,8,120,118,8,120,118,8,120,118,8,120,118,8,114,114,7,114,114,7,114,114,7,114,114,6,111,114,6,111,114,5,110,115,5,94,104,4,94,104,4,94,104,4,94,104,4,78,101,4,78,101,4,74,100,4,72,100,3,65,88,2,63,84,2,62,79,2,65,82,2,62,75,2,62,58,2,58,53,2,47,51,2,43,52,2,43,52,2,32,53,2,29,53,1,55,14,1,11,51,1,6,50,,6,53,,7,52,,7,52,,7,51,,6,48,,5,45,,6,44,,5,44,,5,41,,5,41,,4,41,,4,41,,4,39,,1,42,,1,39,,1,39,,,40,,,38,,,38,,,38,,,35,,,35,,,33,,,32,,,32,,,32,,,32,,,32,,,32,,,32,,,32,,,32,,,32,,,1,,,,1,,,,2,,,2,,,2,,,,21,,,,21,,,21,,,,21,,,9,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,13,8,,12,7,,13,8,,11,7,,9,7,,9,8,,8,8,,5,8,,5,8,,5,8,,5,8,,5,8,,5,8,,5,8,,5,8,,4,8,,4,8,,4,8,,2,7,,2,7,,2,7,,2,7,,2,7,,2,7,,2,5,,2,5,,2,3,,2,3,,1,2,,1,2,,1,2,,1,2,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,2,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,2,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bento Fernandes,10,7,,11,6,2,10,7,,11,7,2,11,7,2,11,7,2,11,7,2,10,7,2,10,7,1,10,7,1,10,7,,10,5,,10,5,,10,5,,10,5,,6,5,,4,7,,4,7,,3,4,,3,4,,3,4,,3,4,,2,2,,2,2,,2,2,,2,2,,2,1,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,2,,2,,,2,,,2,,,2,2,,2,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,8,,,,8,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boa Saúde,14,26,,13,15,,14,26,,13,12,,13,11,,13,16,,13,16,,9,12,,9,12,,9,12,,9,12,,5,12,,5,12,,5,12,,5,12,,3,12,,3,12,,3,12,,2,10,,2,10,,2,10,,2,10,,2,10,,2,10,,2,9,,2,9,,2,7,,2,7,,2,7,,2,8,,2,8,,2,8,,2,8,,2,10,,1,10,,1,10,,1,10,,1,8,,7,1,,1,7,,1,7,,1,7,,1,8,,1,8,,1,8,,1,8,,,8,,,8,,,8,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,8,,,8,,1,7,,1,5,,1,5,,1,5,,1,4,,1,4,,1,4,,1,4,,1,4,,1,4,,1,4,,,4,,,4,,,5,,,5,,,5,,,,2,,,,2,,,2,,,2,,,,1,,,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodó,2,11,,2,7,,2,11,,1,4,,1,2,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,,10,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,12,,,12,,,12,,,12,,,12,,,12,,,11,,11,,,,11,,,11,,,11,,,11,,,11,,,11,,,9,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,,,,,,,,,,,,,,,,,,,6,,,,6,,,7,,,,7,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bom Jesus,56,39,2,46,34,2,56,39,2,44,29,2,42,25,1,39,30,1,31,36,1,31,22,1,31,22,1,31,22,1,29,22,1,28,19,1,23,23,1,21,24,1,21,24,1,20,24,1,13,32,1,13,32,1,11,20,1,11,21,1,10,22,1,10,22,1,9,15,1,8,16,1,5,11,1,4,12,1,4,9,1,4,9,1,3,10,1,3,12,1,3,10,1,3,11,1,3,8,1,3,8,1,3,8,1,3,8,1,3,8,1,2,6,,5,,,,4,,,4,,,4,,1,3,,1,3,,1,4,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,3,,,3,,,3,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brejinho,59,56,1,43,39,,59,56,1,43,37,,39,35,,38,36,,34,36,,32,30,,32,30,,32,30,,32,30,,29,28,,26,29,,24,31,,24,31,,22,31,,19,36,,18,36,,10,22,,10,22,,10,22,,10,22,,11,19,,11,19,,8,15,,7,16,,4,19,,3,15,,2,16,,2,14,,2,14,,2,5,,2,5,,2,2,,1,5,,1,5,,1,5,,1,4,,3,1,,1,2,,1,3,,,3,,1,1,,1,1,,1,1,,1,,,1,1,,1,2,,1,2,,1,3,,1,3,,1,2,,1,1,,,1,,,,,,,,,,,,,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,,,,2,,,,2,,,,2,,,2,,,2,,,,1,,,,1,,,1,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
